Asset_ID,Asset_Name,Asset_Type,Tools/Techniques,Criticality,Justification
A12,Access embargo settings,Configuration,Embargo,High,"Library staff apply or remove access embargoes and upload items that become visible only after a specific embargo period. Misconfigured embargoes could expose restricted materials early or block authorized access."
A13,Collection access options,Configuration,Not Specified,High,"The use case describes organization, tagging, and access options including private, University, and public. These settings directly control who can access project materials."
A14,Administrator accounts,Credential,Not Specified,High,"DB/IR administrators log in to personal accounts, manage other administrator accounts, and have authorized functions. Compromise could enable unauthorized administrative actions across the repository."
A15,Patron accounts,Credential,Not Specified,Medium,"Patrons create personal accounts for email notifications, and administrators can close accounts, view subscriptions, change subscriptions, reset passwords, and change email addresses. Compromise could affect subscriptions and personal account information."
A16,Passwords,Credential,Password,High,"The use case explicitly mentions changing passwords, retrieving forgotten passwords, and resetting passwords. Password compromise could allow unauthorized account access."
A17,Remote login authentication,Credential,Shibboleth,High,"Faculty log in remotely using Shibboleth to access Cornell campus-only content. Authentication compromise could expose restricted campus-only repository materials."
A18,Role and permission assignments,Configuration,Not Specified,High,"Administrators set up accounts for other administrators with various levels of permission and log in with access to authorized functions. Incorrect permissions could enable privilege escalation or unauthorized changes."
A19,Repository collections,Data,Not Specified,Medium,"Users create, move, rename, brand, browse, and assign items to collections. Collection integrity affects organization, access, presentation, and discovery."
A20,Collection branding,Configuration,Not Specified,Low,"The use case includes distinctive branding for collections and strong institutional branding. Compromise primarily affects institutional presentation and attribution rather than core access control."
A21,Item-to-collection mappings,Configuration,Not Specified,Medium,"Repository support can alias or map an item from one collection to another and assign an item to more than one collection. Incorrect mappings could misrepresent ownership, visibility, or discovery context."
A22,Version history,State,Not Specified,High,"The use case requires maintaining versions of brochures, reports, datasets, and changed items while retaining previous versions for patron use. Integrity is high because users rely on correct current and historical versions."
A23,Revision records and revisors list,Data,Not Specified,High,"Library staff need to correct metadata and documents while leaving a record of revisions, and trace revisors to determine who uploaded an item. These records are important for accountability and auditability."
A24,Visibility and publication status,State,Not Specified,High,"Administrators mark reports or datasets not viewable, unpublish reports, and distinguish current or historical items. Incorrect status could expose erroneous content or hide valid repository materials."
A25,Subscriber lists,Data,Not Specified,Medium,"DB/IR administrators view lists of subscribers for specified reports to research missing report complaints. Subscriber lists contain personal notification relationships and require confidentiality and integrity."
A26,Email notification selections,Data,Email,Medium,"Patrons select and deselect reports or datasets to be emailed when new versions are available. Compromise could disclose interests, suppress notifications, or send unwanted notifications."
A27,Release calendar data,Data,Calendar,Medium,"The use case includes future release dates and downloading report or dataset release calendars. Integrity and availability matter because patrons rely on this data to know when materials are available."
A28,Usage statistics and analytics,Data,"Altmetrics; Symplectic Elements; Activity Insight",Medium,"Library staff and administrators access usage statistics, analytics, altmetrics, and tracking statistics. Incorrect or exposed analytics could affect service assessment, faculty reporting, and personnel-related decisions."
A29,Download notification data,Data,Not Specified,Medium,"Faculty want notification when someone downloads their items or files. This data links user activity to repository items and requires integrity and appropriate confidentiality."
A30,Search and browse indexes,System Component,"Google; library discovery system",Medium,"Users search, browse, and discover repository content through repository search, Google, and the library discovery system. Compromise could degrade discovery, misdirect users, or hide relevant materials."
A31,Subject classifications,Configuration,Not Specified,Medium,"DB/IR administrators manage subject classifications for patron browsing and searching. Incorrect classifications could impair discovery and misrepresent content."
A32,Relationship groups and see-also links,Configuration,Not Specified,Low,"Administrators manage customizable relationship groups to support patron see-also options. Compromise mainly affects navigation and related-content discovery."
A33,External-system searchable records,Data,Not Specified,Medium,"Library staff make digital items held in trusted external systems searchable within the repository. Integrity matters because users rely on these records for seamless access to disparate collections."
A34,OAI-harvested metadata,Data,OAI,Medium,"A library discovery operator harvests useful metadata via OAI incrementally. Incorrect or unavailable harvested metadata could impair discovery of Cornell publications."
A35,Persistent URLs and sustainable links,Data,"Persistent URL",High,"Faculty need persistent URLs for personal web pages and CVs, and library staff need sustainable links that do not succumb to link rot. Link integrity and availability are central to permanent access."
A36,Citations for uploaded data,Data,Formatted citation,Medium,"Faculty upload data and provide cut-and-paste formatted citations for reuse. Incorrect citations could undermine attribution and scholarly credit."
A37,DOI assignments,Data,DOI,Medium,"Supplementary files may receive DOIs as needed. DOI integrity affects durable identification and citation of repository materials."
A38,Repository storage and redundant copies,System Component,Redundant storage,High,"Asset managers require redundant storage so that destruction or unwanted changes to one copy can be restored from other good copies. This is critical to preservation, integrity, and availability."
A39,Copy monitoring and restoration mechanism,System Component,Not Specified,High,"The use case requires redundant copies to be continuously monitored for unwanted changes and restored to all copies. Compromise would directly affect the repository’s ability to detect and recover from integrity failures."
A40,Asset inventory and current status,Data,Not Specified,High,"Asset managers need a listing or understanding of all deposited assets and their current status. Inaccurate inventory or status data would impair governance, preservation, and disposition decisions."
A41,Repository export and reload data set,Data,Export and reload,High,"Repository support exports records and associated files, manipulates the data set, and reloads it to correct uniform errors. This process affects bulk integrity of repository records and files."
A42,Account email addresses,Data,Email,Medium,"Administrators search administrator accounts using email or name and can change patron account email addresses. Email address integrity affects account management and notifications."
A43,Technical support issue reports,Data,Email,Low,"Patrons email the system provider to report issues and ask questions, and library staff expect resolution of tech support issues. These reports are security-relevant but the use case provides limited sensitivity details."
A44,Records scheduling configuration,Configuration,Records scheduling,Medium,"Data curators need a mechanism for records scheduling for items that do not need to be stored indefinitely. Incorrect scheduling could cause premature deletion or excessive retention."
A45,Ownership and succession information,Data,Not Specified,High,"Asset managers need mechanisms to pass ownership or management of assets to a successor and plan for disposition if the repository ceases. Compromise could disrupt long-term control and preservation of deposited assets."
