Threat_ID, Asset_ID, Contextualized_Asset, Threat_Description, STRIDE_Categories, Maps_to_Use_Case, Source, CAPEC_References, CAPEC_Rationale
T12, A6, "Access control permissions (roles, private/university/public settings)", "An attacker with write access to permission settings modifies role assignments, granting themselves or others elevated privileges (e.g., administrator, data curator).", "Elevation of Privilege; Tampering", Repository Use Cases, CAPEC, "CAPEC-233: Privilege Escalation; CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels", "CAPEC-233 covers privilege elevation; CAPEC-180 addresses exploiting access control misconfigurations to gain unauthorized access."
T13, A6, "Access control permissions (roles, private/university/public settings)", "An attacker modifies permission settings and then denies having done so, especially if the system lacks adequate logging of permission changes.", Repudiation, Repository Use Cases, CAPEC, "Insufficient Information", "Repudiation of permission changes is possible but there is no specific CAPEC pattern for this attack scenario."
T14, A17, "User account management functions (create, delete, reset password)", "An attacker who gains access to user management functions creates new accounts with elevated privileges (e.g., administrator accounts).", "Elevation of Privilege", Repository Use Cases, CAPEC, "CAPEC-233: Privilege Escalation", "CAPEC-233 describes exploiting weaknesses to elevate privilege, applicable to unauthorized account creation with higher roles."
T15, A17, "User account management functions (create, delete, reset password)", "An attacker deletes legitimate user accounts, causing denial of service for those users who can no longer access the repository.", "Denial of Service", Repository Use Cases, CAPEC, "CAPEC-2: Inducing Account Lockout", "CAPEC-2's lockout mechanism is analogous to account deletion for denying service; both prevent legitimate user access."
T16, A18, "Redundant storage and integrity monitoring system", "An attacker who compromises the storage subsystem alters redundant copies of repository content, corrupting backups and undermining the ability to restore original data.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation; CAPEC-562: Modify Shared File", "CAPEC-165 and CAPEC-562 describe file modification attacks that could be applied to redundant storage systems."
T17, A19, "Persistent identifier system (e.g., handle/DOI resolver)", "An attacker modifies the resolution mapping of persistent identifiers (DOIs, handles) to redirect users to malicious or incorrect content.", "Tampering; Spoofing", Repository Use Cases, CAPEC, "CAPEC-151: Identity Spoofing; CAPEC-196: Session Credential Falsification through Forging", "CAPEC-151 spoofs identities; CAPEC-196 forges credentials, both relevant to redirecting identifier resolution."
T18, A26, "Embargo expiration state", "An attacker alters the embargo expiration state in the system (e.g., changing a flag from 'embargoed' to 'public') to make restricted content visible before its authorized release date.", "Tampering; Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-176: Configuration/Environment Manipulation", "CAPEC-176 allows manipulation of configuration/environment settings, including state flags that control embargo status."
T19, A2, "Descriptive metadata (title, author, description, keywords, subject classifications)", "An attacker modifies item metadata (e.g., author names, titles, keywords) to misattribute works, hide content from search results, or redirect users to unrelated resources.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation; CAPEC-81: Web Server Logs Tampering", "CAPEC-165 covers general file manipulation; CAPEC-81 addresses log tampering, which can be analogous to metadata alteration."
T20, A7, "Licensing information (CC-By, CC0, reuse rights)", "An attacker changes the license attached to a repository item (e.g., from CC-BY-NC to CC0), leading users to believe they have broader reuse rights than actually granted.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation", "CAPEC-165 describes file manipulation, which includes modifying embedded license metadata."
T21, A8, "Version history (previous versions, revision records)", "An attacker deletes or alters previous versions of an item, undermining research traceability and enabling repudiation of earlier findings.", "Tampering; Repudiation", Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation", "CAPEC-165 covers file manipulation, including deletion or alteration of historical versions."
T22, A9, "Subscriber list and subscription preferences", "An attacker gains unauthorized access to the subscriber list, exposing patron email addresses and their notification preferences, violating privacy.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-126: Path Traversal; CAPEC-200: Removal of filters", "CAPEC-126 enables reading arbitrary files; CAPEC-200 removes filters, both leading to information disclosure."
T23, A10, "Usage statistics and altmetrics", "An attacker modifies usage statistics or altmetrics to artificially inflate or deflate download counts, potentially misleading administrators or funders about an item's impact.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation; CAPEC-81: Web Server Logs Tampering", "CAPEC-165 manipulates data files; CAPEC-81 tampers with logs that may feed statistics."
T24, A11, "Download notification logs", "An attacker accesses download notification logs, revealing which users downloaded specific items and potentially exposing research interests or other sensitive behavior patterns.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-126: Path Traversal", "CAPEC-126 can be used to traverse directories and read log files containing download events."
T25, A12, "ORCID/ResearcherID associations", "An attacker modifies the association between an item and a researcher's ORCID or ResearcherID, causing the work to be incorrectly attributed to another researcher.", "Tampering; Spoofing", Repository Use Cases, CAPEC, "CAPEC-151: Identity Spoofing; CAPEC-165: File Manipulation", "CAPEC-151 spoofs identities; CAPEC-165 manipulates files that store identifier links."
T26, A13, "Persistent URLs and DOIs", "An attacker alters the resolution of persistent URLs or DOIs (e.g., by compromising the resolver or modifying stored links) to redirect users to malicious or unrelated content.", "Tampering; Denial of Service", Repository Use Cases, CAPEC, "CAPEC-151: Identity Spoofing; CAPEC-196: Session Credential Falsification through Forging", "CAPEC-151 spoofs the target identity; CAPEC-196 forges credentials to manipulate redirects."
T27, A14, "OAI-PMH harvested metadata", "An attacker modifies metadata exported via OAI-PMH, corrupting the metadata that external discovery systems harvest and display.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation", "CAPEC-165 covers file manipulation, including alteration of exported metadata files."
T28, A15, "Audit trail of revisions and uploaders", "An attacker tampers with audit logs (e.g., by deleting or modifying entries) to hide unauthorized actions and enable repudiation of those actions.", "Tampering; Repudiation", Repository Use Cases, CAPEC, "CAPEC-81: Web Server Logs Tampering", "CAPEC-81 describes tampering with web server logs to mask malicious behavior, directly applicable to audit trail attacks."
T29, A16, "Administrator account list", "An attacker discovers the list of administrator accounts, providing targets for credential-based attacks such as phishing or password guessing.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-126: Path Traversal", "CAPEC-126 can be used to read files containing account lists."
T30, A20, "Email notification system", "An attacker sends spoofed email notifications (e.g., claiming a new version of a dataset is available) that contain malicious links or false information.", Spoofing, Repository Use Cases, CAPEC, "CAPEC-98: Phishing; CAPEC-163: Spear Phishing", "CAPEC-98 and CAPEC-163 cover sending deceptive emails to trick recipients."
T31, A21, "Batch import/export system", "An attacker uses the batch export functionality to extract a large volume of repository data (including potentially sensitive items) in a single operation, bypassing per-item access controls.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-126: Path Traversal", "CAPEC-126 can be used to access files en masse, analogous to bulk export bypass."
T32, A22, "Streaming media delivery service", "An attacker launches a denial-of-service attack against the streaming media service, making audio or video content unavailable to legitimate users.", "Denial of Service", Repository Use Cases, CAPEC, "CAPEC-227: Sustained Client Engagement", "CAPEC-227 ties up streaming resources by keeping connections open, leading to DoS."
T33, A23, "Search and browse index", "An attacker poisons the search index (e.g., by injecting manipulated metadata or malformed content) to cause items to be hidden, misranked, or incorrectly associated with search terms.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation", "CAPEC-165 can be applied to modify index files or the data structures that feed the search index."
T34, A25, "User session state", "An attacker steals or predicts a valid session token and replays it to impersonate an authenticated user, gaining access to that user's privileges.", "Spoofing; Elevation of Privilege", Repository Use Cases, CAPEC, "CAPEC-60: Reusing Session IDs (aka Session Replay); CAPEC-196: Session Credential Falsification through Forging", "CAPEC-60 replays stolen session IDs; CAPEC-196 forges session credentials, both resulting in session hijacking."
T35, A27, "Item visibility state (published/unpublished)", "An attacker alters the visibility state of an item (e.g., changing 'published' to 'unpublished' or vice versa) to either hide public content or prematurely expose unpublished drafts.", "Tampering; Denial of Service", Repository Use Cases, CAPEC, "CAPEC-176: Configuration/Environment Manipulation", "CAPEC-176 manipulates configuration settings, including state flags that control item visibility."
