Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R17,A9,T8,"The system shall record each custom metadata field definition change with actor, timestamp, affected collection or deposit context, prior definition, and new definition.","Auditing custom metadata field changes supports detection and correction of field manipulation."
R18,A10,T9,"The system shall require author identity metadata changes involving ORCID or ResearcherID to be explicitly associated with the affected submission and the user performing the change.","Traceable identity changes reduce the likelihood and impact of spoofed author attribution."
R19,A10,T9,"The system shall display the stored author identity metadata with the affected submission before finalizing deposit or metadata correction.","Review before finalization reduces misassociation of submissions with incorrect ORCID, ResearcherID, or author identity values."
R20,A11,T10,"The system shall restrict changes to reuse-rights and license metadata, including CC-By, CC0, and CC license selections, to authorized depositors or authorized staff managing the affected file or item.","Restricting license changes reduces unauthorized alteration of reuse rights for deposited materials."
R21,A11,T10,"The system shall retain a history of reuse-rights and license metadata changes, including actor, timestamp, affected file or item, prior license value, and new license value.","License-change history reduces repudiation and supports correction when reuse-rights metadata is tampered with."
R22,A12,T11,"The system shall enforce embargo start, embargo end, and embargo removal decisions before allowing the affected item to become visible.","Enforcing embargo decisions reduces premature disclosure of embargoed repository items."
R23,A12,T11,"The system shall restrict applying, removing, shortening, or extending an access embargo to authorized library staff or other users explicitly permitted to manage the affected item.","Restricting embargo-management actions reduces unauthorized changes to access embargo settings."
R24,A12,T11,"The system shall log every access embargo change with actor, timestamp, affected item, prior embargo value, and new embargo value.","Embargo-change logs support accountability and recovery when embargo settings are altered improperly."
R25,A13,T12,"The system shall enforce collection access options exactly as configured for private, University, and public access before allowing project materials to be viewed or downloaded.","Enforcing configured access options reduces unauthorized disclosure of collection materials."
R26,A13,T12,"The system shall restrict changes to collection access options to users authorized to administer the affected collection.","Limiting access-option changes reduces the likelihood that a private or University-only collection is made public without authorization."
R27,A14,T13,"The system shall authenticate each DB/IR administrator before permitting use of administrator-only functions.","Authentication reduces the likelihood that unauthorized users perform administrator account or repository-management actions."
R28,A14,T13,"The system shall require administrator account management actions to be performed only by administrators with permission to create, delete, or modify administrator accounts and permission levels.","Permission checks reduce privilege escalation through administrator account-management workflows."
R29,A14,T13,"The system shall record administrator account-management actions with actor, timestamp, affected administrator account, action type, and permission-level changes.","Auditing administrator account actions reduces repudiation and supports investigation of compromised administrator accounts."
R30,A15,T14,"The system shall require authentication to view or change a patron account's subscriptions, notification selections, or email address unless the action is performed by an authorized administrator.","Authentication and authorization reduce unauthorized changes to patron account information."
R31,A15,T14,"The system shall record patron account changes made by administrators, including actor, timestamp, affected patron account, changed field, prior value, and new value.","Administrative change logs support accountability when patron account subscriptions or email addresses are altered."
R32,A16,T15,"The system shall require password change, password reset, and forgotten-password retrieval workflows to verify that the requester is authorized to act on the affected account before changing the password.","Requester verification reduces unauthorized password changes and account compromise."
R33,A16,T15,"The system shall not display or disclose existing passwords during password change, retrieval, reset, account administration, or support workflows.","Preventing password disclosure reduces the impact of credential compromise."
R34,A16,T15,"The system shall record password reset and password change events with actor or requester context, timestamp, and affected account identifier without recording the password value.","Password-event logging supports investigation while avoiding storage of sensitive password contents in logs."
R35,A17,T16,"The system shall require successful Shibboleth remote login before granting remote access to Cornell campus-only repository content.","Binding campus-only access to Shibboleth authentication reduces unauthorized disclosure of restricted content."
R36,A17,T16,"The system shall deny remote access to Cornell campus-only content when Shibboleth authentication status is absent, expired, or invalid.","Denying access on invalid authentication status reduces bypass of remote login controls."
R37,A18,T17,"The system shall enforce administrator permission levels before allowing an account to perform authorized functions or manage other administrator accounts.","Permission enforcement reduces privilege escalation through role and permission assignment."
R38,A18,T17,"The system shall require every permission-level change to record actor, timestamp, affected account, prior permission level, and new permission level.","Recording permission changes reduces repudiation and supports detection of excessive privilege assignment."
R39,A19,T18,"The system shall restrict collection creation, movement, renaming, and branding changes to users authorized to manage the affected collection.","Restricting collection management reduces unauthorized manipulation of repository collections."
R40,A19,T18,"The system shall maintain a change history for collection name and location changes, including actor, timestamp, prior value, and new value.","Collection change history reduces repudiation and supports restoration after collection tampering."
R41,A21,T19,"The system shall restrict item-to-collection aliasing, mapping, and multi-collection assignment to authorized repository support or library staff for the affected item and collection.","Restricting mapping actions reduces unauthorized presentation of an item as belonging to another collection."
R42,A21,T19,"The system shall record each item-to-collection mapping change with actor, timestamp, affected item, source collection, and target collection.","Mapping-change records support investigation and correction of unauthorized item-to-collection mappings."
R43,A22,T20,"The system shall preserve prior versions when a report, dataset, brochure, or item is updated unless an authorized retention or disposition workflow permits removal.","Preserving prior versions reduces the impact of version-history tampering or accidental loss."
R44,A22,T20,"The system shall identify which version of a report, dataset, brochure, or item is current and which versions are historical.","Explicit version status reduces user confusion and mitigates manipulation of current versus historical versions."
R45,A22,T20,"The system shall record all version creation, replacement, deletion, or status changes with actor, timestamp, affected item, and version identifier.","Version-change logging reduces repudiation and supports recovery after version history manipulation."
R46,A23,T21,"The system shall make revision records and revisors lists append-only for normal correction workflows so prior revision entries are not overwritten during later corrections.","Append-only revision records reduce the likelihood that accountability evidence is removed or altered."
R47,A23,T21,"The system shall restrict access to modify revision records or revisors lists to users explicitly authorized for audit or repository administration functions.","Restricting revision-record modification reduces tampering with accountability information."
R48,A24,T22,"The system shall restrict changes to visible, not-viewable, unpublished, historical, and current status values to authorized administrators or staff for the affected report, dataset, or item.","Status-change authorization reduces exposure of erroneous content and suppression of valid content."
R49,A24,T22,"The system shall enforce the stored visibility and publication status before displaying, emailing, indexing, or allowing download of the affected report, dataset, or item.","Consistent enforcement reduces information disclosure and availability failures caused by manipulated or ignored status."
R50,A24,T22,"The system shall record each visibility or publication status change with actor, timestamp, affected asset, prior status, and new status.","Status-change logging supports investigation and rollback when publication state is tampered with."
R51,A25,T23,"The system shall restrict viewing subscriber lists for a specified report to DB/IR administrators or other users authorized to research subscription or missing-report complaints.","Restricting subscriber-list access reduces disclosure of patrons' report interests."
R52,A25,T23,"The system shall record each access to a report subscriber list with actor, timestamp, and specified report identifier.","Access logging deters misuse and supports investigation of subscriber-list disclosure."
R53,A26,T24,"The system shall require authenticated patron action or authorized administrator action before changing email notification selections for reports or datasets.","Authorization reduces tampering with patron notification selections."
R54,A26,T24,"The system shall record notification-selection changes with actor, timestamp, affected patron account, selected or deselected report or dataset, and change action.","Change records reduce repudiation and support correction of unwanted or missing notifications."
R55,A27,T25,"The system shall restrict creation and modification of report or dataset future release dates and downloadable calendar entries to authorized administrators.","Limiting release calendar changes reduces the likelihood that patrons receive false availability information."
R56,A27,T25,"The system shall generate downloadable release calendar data from the repository's stored release-date records rather than from untracked user-entered calendar content.","Deriving calendars from tracked records reduces inconsistency and tampering in release calendar data."
R57,A28,T26,"The system shall restrict access to create, modify, or present usage statistics, analytics, altmetrics, and tracking statistics to authorized repository staff or administrators.","Restricting analytics management reduces manipulation of usage and faculty impact reporting."
R58,A28,T26,"The system shall identify the repository, collection, author, or item level associated with each usage statistic or analytics record presented to staff or administrators.","Contextual identifiers reduce misleading analytics presentation and support verification of affected assets."
R59,A29,T27,"The system shall generate faculty download notifications from recorded download events associated with the faculty member's items or files.","Generating notifications from recorded events reduces false or missing download notification data."
R60,A29,T27,"The system shall restrict access to download notification data to the faculty member associated with the downloaded item or file and authorized repository staff.","Access restrictions reduce disclosure of download activity data."
R61,A30,T28,"The system shall update repository search and browse indexes from approved repository content and metadata records only.","Restricting index inputs reduces manipulation of search and browse results."
R62,A30,T28,"The system shall exclude items from search, browse, Google-oriented discovery outputs, and library discovery outputs when the item's stored access or publication status does not permit discovery.","Excluding non-discoverable items reduces disclosure through search and browse indexes."
R63,A31,T29,"The system shall restrict subject classification creation, deletion, and assignment changes to DB/IR administrators or other authorized staff.","Restricting classification management reduces browsing and search manipulation."
R64,A31,T29,"The system shall record subject classification changes with actor, timestamp, affected item or classification, prior value, and new value.","Classification change logs support correction when resources are misclassified."
R65,A32,T30,"The system shall restrict creation and modification of relationship groups and see-also links to authorized DB/IR administrators.","Restricting see-also management reduces misleading related-content navigation."
R66,A32,T30,"The system shall store each see-also relationship with identifiers for the source report or dataset and the related report or dataset.","Explicit relationship identifiers make see-also mappings verifiable and reduce ambiguous or misleading relationships."
R67,A34,T31,"The system shall expose for OAI harvesting only metadata records that are approved for discovery under the affected item's access and publication status.","Filtering OAI output reduces disclosure and downstream indexing of records that should not be discoverable."
R68,A34,T31,"The system shall generate incrementally harvested OAI metadata from the repository's current approved metadata records.","Generating harvested metadata from approved records reduces the likelihood of spoofed or stale downstream publication records."
R69,A35,T32,"The system shall restrict creation, update, or removal of persistent URLs and sustainable links to users authorized to manage the affected repository item or archive record.","Restricting link management reduces tampering that causes link rot or misdirection."
R70,A35,T32,"The system shall maintain a record mapping each persistent URL or sustainable link to its intended repository item or archived scholarship object.","Maintained mappings support verification and recovery when links are changed or broken."
R71,A36,T33,"The system shall generate cut-and-paste formatted citations for uploaded data from the stored citation metadata for the affected data file.","Generating citations from stored metadata reduces unauthorized alteration of attribution text."
R72,A36,T33,"The system shall restrict changes to citation metadata for uploaded data to the depositor or authorized staff managing the affected data file.","Restricting citation metadata changes reduces incorrect attribution for reused data."
R73,A37,T34,"The system shall store DOI associations with the affected supplementary file identifier and shall display the DOI association with that file.","Explicit DOI-to-file association reduces misidentification of supplementary files."
R74,A37,T34,"The system shall restrict creation or modification of DOI associations for supplementary files to authorized staff or authorized deposit workflows.","Restricting DOI association changes reduces spoofing or misdirection through altered identifiers."
R75,A38,T35,"The system shall store redundant copies of deposited digital assets so that loss or unwanted change to one copy does not eliminate all retrievable copies.","Redundancy reduces the availability and integrity impact of corrupted or deleted repository copies."
R76,A38,T35,"The system shall support restoration of an affected asset from a redundant copy identified as a good copy.","Restoration capability reduces the impact of tampering or destruction of repository storage copies."
R77,A39,T36,"The system shall continuously monitor redundant copies for unwanted changes and record detected differences with the affected asset identifier and detection time.","Monitoring and recording detected differences reduces undetected propagation of corrupted redundant copies."
R78,A39,T36,"The system shall require an authorized restoration decision before overwriting redundant copies during restoration.","Authorization reduces the likelihood that an attacker propagates an unwanted change as the restored version."
R79,A40,T37,"The system shall maintain an inventory record for each deposited asset that includes the asset identifier and current status.","Asset inventory records reduce loss of governance visibility caused by manipulated listings or statuses."
R80,A40,T37,"The system shall restrict changes to deposited asset current status in the inventory to authorized asset managers or repository staff.","Restricting inventory status changes reduces unauthorized alteration of asset governance information."
R81,A41,T38,"The system shall restrict export and reload of repository records and associated files to authorized repository support team members.","Restricting bulk export and reload reduces the likelihood of corrupted data being imported through support workflows."
R82,A41,T38,"The system shall record each export and reload operation with actor, timestamp, affected record set, and action type.","Bulk-operation logging supports investigation and rollback after export or reload data set tampering."
R83,A41,T38,"The system shall require reload operations to identify the exported record set and associated files being reloaded.","Identifying the reloaded data set reduces accidental or malicious import of unrelated corrupted records and files."
R84,A42,T39,"The system shall restrict changes to patron account email addresses to the authenticated patron or an authorized administrator.","Restricting email address changes reduces redirection of account-management or notification messages."
R85,A42,T39,"The system shall restrict administrator account email changes to authorized administrator account-management workflows.","Restricting administrator email changes reduces spoofing or takeover of administrator account communications."
R86,A42,T39,"The system shall record account email address changes with actor, timestamp, affected account, prior email address, and new email address.","Email-change records support investigation of redirected notifications or account recovery messages."
R87,A44,T40,"The system shall restrict creation and modification of records scheduling rules for repository items to authorized data curators or repository staff.","Restricting records scheduling configuration reduces premature deletion or excessive retention."
R88,A44,T40,"The system shall record each records scheduling change with actor, timestamp, affected item or collection, prior schedule, and new schedule.","Records scheduling logs support accountability and correction when retention behavior is manipulated."
R89,A45,T41,"The system shall restrict changes to ownership, management successor, and disposition information to authorized asset managers or repository staff.","Restricting ownership and succession changes reduces unauthorized transfer or disposition of repository assets."
R90,A45,T41,"The system shall record each ownership, management-successor, or disposition change with actor, timestamp, affected asset, prior value, and new value.","Change records reduce repudiation and support investigation of incorrect asset transfer or disposition."
