Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R15,A4,T8,"The system MUST apply the same access controls to metadata as to the corresponding content file, especially for embargoed or restricted items, and ensure OAI-PMH does not expose restricted metadata.","Prevents unauthorized disclosure of sensitive metadata through search or harvesting endpoints."
R16,A5,T9,"The system MUST enforce that embargo setting modifications are restricted to authorized library staff members and the item author (if applicable), with all changes logged.","Access controls prevent unauthorized tampering with embargo dates and visibility flags."
R17,A5,T9,"The system MUST re-validate embargo settings on every access request and reject access if the embargo is active, independent of any client-provided hints.","Server-side validation ensures that tampered client data cannot bypass embargo checks."
R18,A6,T10,"The system MUST enforce that version history records are immutable once created; new versions are added as new records, and previous versions cannot be deleted or altered by regular users.","Immutability preserves the integrity of version history for scholarly record."
R19,A6,T10,"The system MUST allow only administrators with a documented justification to delete or modify version history, and such actions must be logged and require secondary approval.","Admin override is limited and audited to prevent unauthorized tampering with version history."
R20,A7,T11,"The system MUST enforce that licensing information for a deposited file can only be modified by the depositor or an administrator, and all changes are logged.","Access controls prevent unauthorized alteration of license terms which could have legal consequences."
R21,A7,T11,"The system MUST display the current license clearly on the item page and, if a license is changed, retain a record of the previous license in the audit log.","Transparency and audit trail support accountability for license changes."
R22,A9,T12,"The system MUST enforce that subscriber lists are accessible only to authorized DB/IR administrators for the purpose of investigating missing report complaints, and must not be exposed via public APIs or UI.","Access restrictions prevent unauthorized disclosure of subscriber email addresses."
R23,A9,T12,"The system MUST log all access to subscriber lists, including administrator identity, timestamp, and reason for access.","Audit logs deter and detect unauthorized access to sensitive personal data."
R24,A10,T13,"The system MUST implement role-based access control (RBAC) with least privilege: assign minimal permissions required for each administrator role, and require independent approval for creating or deleting admin accounts.","RBAC reduces the impact of privilege escalation by limiting what an attacker can do after gaining admin rights."
R25,A10,T13,"The system MUST log all privilege changes, account creations, deletions, and role assignments with actor identity and timestamp, and these logs must be append-only.","Audit logs enable detection of unauthorized privilege escalation and support non-repudiation."
R26,A11,T14,"The system MUST store audit logs in an append-only, tamper-resistant storage (e.g., write-once, signed logs) accessible only to privileged security administrators.","Append-only storage prevents tampering and deletion, preserving non-repudiation."
R27,A11,T14,"The system MUST log every modification to content, metadata, embargo settings, and user permissions, including before and after values.","Comprehensive logging enables traceability and repudiation prevention."
R28,A12,T15,"The system MUST require re-authentication or a confirmation step before associating or modifying an ORCID on a submission, and log the change.","Prevents unauthorized association of ORCIDs that could lead to misattribution."
R29,A12,T15,"The system MUST validate ORCID syntax and, where possible, verify ownership via OAuth handshake with ORCID.org.","Verification ensures that the ORCID belongs to the depositing user, reducing spoofing."
R30,A15,T16,"The system MUST compute and periodically verify checksums for all redundant copies, alerting administrators upon mismatch.","Integrity monitoring detects tampering or corruption of redundant copies."
R31,A15,T16,"The system MUST enforce that redundant copies are stored on physically or logically separate storage systems with independent access controls.","Separation prevents a single compromise from affecting all copies (defense in depth)."
R32,A16,T17,"The system MUST validate the integrity (e.g., checksums) of all records and files during batch import and reject any that fail validation.","Integrity validation prevents injection of tampered or corrupted data during import."
R33,A16,T17,"The system MUST require administrator-level authentication and logging of all export and import operations, including the dataset identifier and user identity.","Access controls and audit logs prevent unauthorized extraction or injection of data."
R34,A18,T18,"The system MUST generate session identifiers with sufficient entropy (e.g., 128-bit random) and re-generate them after login and privilege changes.","Strong session IDs and regeneration prevent session fixation and prediction attacks."
R35,A18,T18,"The system MUST bind session identifiers to the client IP address (or similar fingerprint) as an additional verification step, with fallback for legitimate changes.","Binding reduces the risk of session hijacking by limiting token reuse across different clients."
R36,A20,T19,"The system MUST configure OAI-PMH to exclude metadata of embargoed or restricted items unless the requester is authenticated and authorized.","Prevents information disclosure via uncontrolled metadata harvesting."
R37,A20,T19,"The system MUST implement rate limiting on the OAI-PMH endpoint and cap the number of records per request to mitigate denial-of-service flooding.","Rate limiting reduces the impact of excessive harvest requests on server availability."
R38,A21,T20,"The system MUST enforce per-user and per-session upload rate limits and maximum file size quotas, with configurable limits for large-file transfers.","Rate limits and quotas prevent resource exhaustion from malicious large-file uploads."
R39,A21,T20,"The system MUST perform virus scanning on all uploaded files, regardless of size, before storing them.","Scanning prevents malware introduction via large files (availability and integrity)."
R40,A22,T21,"The system MUST implement request rate limiting for streaming media endpoints and limit concurrent streams per user or IP address.","Rate limiting prevents denial of service through excessive streaming requests."
