Threat_ID,Asset_ID,Contextualized_Asset,Threat_Description,STRIDE_Categories,Maps_to_Use_Case,Source,CAPEC_References,CAPEC_Rationale
T11,A12,Access embargo settings,"An attacker removes, shortens, or bypasses an embargo so an item becomes visible before the authorized embargo period expires.","Tampering; Information Disclosure; Elevation of Privilege",Insufficient Information,CAPEC,"CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels; CAPEC-87: Forceful Browsing","The use case includes applying and removing embargoes and delaying visibility until an embargo expires. CAPEC-180 is relevant to incorrect access-control configuration, and CAPEC-87 applies to reaching protected content through improper paths."
T12,A13,Collection access options,"An attacker changes collection access from private or University-only to public, or otherwise manipulates access options for shared project materials.","Tampering; Information Disclosure; Elevation of Privilege",Insufficient Information,CAPEC,"CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels; CAPEC-1: Accessing Functionality Not Properly Constrained by ACLs","The use case explicitly includes private, University, and public access options. CAPEC-180 and CAPEC-1 are relevant where access controls or constrained functions are misconfigured or bypassed."
T13,A14,Administrator accounts,"An attacker gains access to an administrator account and performs authorized-function workflows such as setting up accounts, changing permissions, or unpublishing reports.","Spoofing; Tampering; Elevation of Privilege; Repudiation",Insufficient Information,CAPEC,"CAPEC-115: Authentication Bypass; CAPEC-49: Password Brute Forcing; CAPEC-565: Password Spraying","Administrator accounts are used for authorized functions and account administration. CAPEC-115, CAPEC-49, and CAPEC-565 cover plausible authentication attacks against those accounts."
T14,A15,Patron accounts,"An attacker compromises a patron account to view or change subscriptions, email addresses, or notification preferences.","Spoofing; Tampering; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-49: Password Brute Forcing; CAPEC-98: Phishing","The use case includes patron accounts, subscriptions, password resets, and email changes. CAPEC-49 covers password guessing and CAPEC-98 covers credential theft through phishing."
T15,A16,Passwords,"An attacker guesses, brute-forces, or socially engineers passwords used for patron or administrator accounts.","Spoofing; Elevation of Privilege; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-49: Password Brute Forcing; CAPEC-16: Dictionary-based Password Attack; CAPEC-98: Phishing","The use case explicitly mentions changing, retrieving forgotten, and resetting passwords. These CAPEC entries directly map to attacks that obtain or guess password credentials."
T16,A17,Remote login authentication,"An attacker bypasses or intercepts remote Shibboleth login to gain access to Cornell campus-only content.","Spoofing; Information Disclosure; Elevation of Privilege",Insufficient Information,CAPEC,"CAPEC-115: Authentication Bypass; CAPEC-94: Adversary in the Middle (AiTM); CAPEC-98: Phishing","Remote login using Shibboleth is explicitly required for campus-only content. CAPEC-115 maps to bypassing authentication, CAPEC-94 to intercepting authentication communication, and CAPEC-98 to credential theft."
T17,A18,Role and permission assignments,"An administrator-level workflow is abused to assign excessive permissions to an account or create an administrator with inappropriate privileges.","Tampering; Elevation of Privilege; Repudiation",Insufficient Information,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","The use case includes administrator setup or deletion of accounts with various permission levels. CAPEC-233 applies to gaining unauthorized privilege, and CAPEC-122 applies to abusing legitimate privileges."
T18,A19,Repository collections,"An attacker renames, moves, or changes a collection so items appear under the wrong context or become harder to find.","Tampering; Repudiation; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","The use case includes creating, moving, renaming, and branding collections. CAPEC-153 maps to manipulated collection inputs, and CAPEC-148 maps to deceptive presentation of altered collection content."
T19,A21,Item-to-collection mappings,"An attacker aliases or maps an item into an unauthorized collection, causing users to believe it belongs to multiple or different collections.","Tampering; Spoofing",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case allows mapping items from one collection to another and assigning items to more than one collection. CAPEC-153 and CAPEC-690 apply because the attack manipulates relationship metadata."
T20,A22,Version history,"An attacker deletes, hides, reorders, or replaces old or current versions of reports, datasets, brochures, or changed items.","Tampering; Repudiation; Denial of Service",Insufficient Information,CAPEC,"CAPEC-165: File Manipulation; CAPEC-153: Input Data Manipulation","The use case relies on current and historical versions being available. CAPEC-165 applies to file-level version manipulation and CAPEC-153 applies to manipulated version metadata or status values."
T21,A23,Revision records and revisors list,"An attacker alters or removes revision records so staff cannot determine who uploaded or changed an item.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-122: Privilege Abuse; CAPEC-153: Input Data Manipulation","Revision history and revisors lists are explicitly used for accountability. CAPEC-122 is relevant where an authorized user abuses access, and CAPEC-153 maps to manipulation of revision-record data."
T22,A24,Visibility and publication status,"An attacker changes visible, not-viewable, unpublished, historical, or current status values to expose erroneous content or suppress valid content.","Tampering; Information Disclosure; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels","The use case includes marking reports not viewable, unpublishing reports, and distinguishing current or historical items. CAPEC-153 maps to status manipulation, and CAPEC-180 maps where status controls access."
T23,A25,Subscriber lists,"An attacker accesses or exports subscriber lists for a specified report, exposing patrons interested in that report.","Information Disclosure",Insufficient Information,CAPEC,"CAPEC-87: Forceful Browsing; CAPEC-115: Authentication Bypass","The use case allows administrators to see subscriber lists for reports. CAPEC-87 and CAPEC-115 are relevant where an attacker reaches subscriber-list functionality without proper authorization."
T24,A26,Email notification selections,"An attacker changes patron notification selections for reports or datasets, causing unwanted notifications or suppressing selected alerts.","Tampering; Information Disclosure; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation","The use case explicitly allows patrons to select and deselect notification subscriptions, possibly many at once. CAPEC-153 maps to manipulating submitted selection data."
T25,A27,Release calendar data,"An attacker alters future release dates or downloadable calendar data so patrons rely on false report or dataset availability information.","Tampering; Denial of Service",Insufficient Information,CAPEC,"CAPEC-148: Content Spoofing; CAPEC-153: Input Data Manipulation","The use case includes future release dates and downloadable release calendars. CAPEC-148 applies to deceptive calendar content, and CAPEC-153 applies to manipulated date inputs."
T26,A28,Usage statistics and analytics,"An attacker manipulates usage statistics, analytics, altmetrics, or tracking statistics to misrepresent repository usage or faculty impact.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","Usage statistics and altmetrics are used for assessment and digestible faculty reporting. CAPEC-153 maps to manipulated analytics inputs, and CAPEC-148 maps to misleading output presented as legitimate metrics."
T27,A29,Download notification data,"An attacker accesses or manipulates download notification data so faculty receive false information about who downloaded their files or receive no notifications.","Tampering; Information Disclosure; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","The use case includes notifying faculty when someone downloads items or files. CAPEC-153 maps to tampering with event data, and CAPEC-148 maps to spoofed notification content."
T28,A30,Search and browse indexes,"An attacker manipulates search or browse data so repository users, Google users, or library-discovery users are directed to incorrect, hidden, or misleading content.","Tampering; Denial of Service; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing; CAPEC-690: Metadata Spoofing","The use case relies heavily on search, browse, Google visibility, and library discovery. CAPEC-153, CAPEC-148, and CAPEC-690 are relevant because discovery results depend on content and metadata integrity."
T29,A31,Subject classifications,"An attacker changes subject classifications so patrons browsing by subject area cannot find needed resources or find misclassified resources.","Tampering; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation","The use case includes administrator management of subject classifications for browsing and searching. CAPEC-153 maps to manipulation of classification input data."
T30,A32,Relationship groups and see-also links,"An attacker changes see-also relationship groups so patrons are directed to unrelated or misleading reports and datasets.","Tampering",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","The use case includes customizable relationship groups supporting see-also options. CAPEC-153 maps to relationship-data manipulation, and CAPEC-148 maps to misleading content presentation."
T31,A34,OAI-harvested metadata,"An attacker manipulates metadata exposed for OAI harvesting, causing downstream discovery systems to index incorrect Cornell publication records.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case includes incremental OAI harvesting for discovery. CAPEC-153 and CAPEC-690 map to altered or spoofed metadata consumed by downstream systems."
T32,A35,Persistent URLs and sustainable links,"An attacker changes or breaks persistent URLs or sustainable links, causing link rot, redirection to wrong content, or loss of access to archived scholarship.","Tampering; Denial of Service; Spoofing",Insufficient Information,CAPEC,"CAPEC-148: Content Spoofing; CAPEC-153: Input Data Manipulation","Persistent URLs and sustainable links are required for CVs, personal pages, and permanent archives. CAPEC-148 maps to deceptive linked content, and CAPEC-153 maps to manipulated link values."
T33,A36,Citations for uploaded data,"An attacker changes the cut-and-paste formatted citation so reuse of uploaded data gives incorrect attribution.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case explicitly requires formatted citations for uploaded data. CAPEC-153 applies to manipulated citation fields, and CAPEC-690 applies because citation metadata can spoof source or authorship."
T34,A37,DOI assignments,"An attacker alters DOI associations for supplementary files so identifiers resolve to the wrong file or no longer identify the intended file.","Tampering; Spoofing; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case includes DOIs for supplementary files as needed. CAPEC-153 maps to DOI-field manipulation, and CAPEC-690 maps to spoofed identifying metadata."
T35,A38,Repository storage and redundant copies,"An attacker corrupts or deletes repository copies so redundant storage no longer provides a good copy for restoration.","Tampering; Denial of Service",Insufficient Information,CAPEC,"CAPEC-165: File Manipulation; CAPEC-262: Manipulate System Resources","The use case requires redundant copies to survive destruction or unwanted changes. CAPEC-165 maps to modifying files, and CAPEC-262 maps to manipulating resources that affect integrity or availability."
T36,A39,Copy monitoring and restoration mechanism,"An attacker interferes with monitoring or restoration so unwanted changes to redundant copies are not detected or are propagated as if valid.","Tampering; Repudiation; Denial of Service",Insufficient Information,CAPEC,"CAPEC-262: Manipulate System Resources; CAPEC-122: Privilege Abuse","The use case requires continuous monitoring for unwanted changes and a mechanism to determine the original object and restore all copies. CAPEC-262 maps to manipulating system resources, and CAPEC-122 applies where authorized access is abused."
T37,A40,Asset inventory and current status,"An attacker changes the listing or current status of deposited assets, preventing accurate understanding of what assets exist and how they are governed.","Tampering; Repudiation; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case requires a mechanism to list all deposited assets and their current status. CAPEC-153 and CAPEC-690 apply to manipulated or spoofed inventory metadata."
T38,A41,Repository export and reload data set,"An attacker modifies exported records or associated files before reload, causing a uniform error correction workflow to import corrupted repository data.","Tampering; Repudiation; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-165: File Manipulation","The use case includes exporting records and associated files, manipulating the data set, and reloading it. CAPEC-153 maps to manipulated record data, and CAPEC-165 maps to manipulated associated files."
T39,A42,Account email addresses,"An attacker changes administrator or patron account email addresses to redirect notifications, password recovery, or account-management messages.","Tampering; Spoofing; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-98: Phishing","The use case includes searching accounts by email and changing patron email addresses. CAPEC-153 maps to tampering with email address fields, and CAPEC-98 is relevant where phishing induces the change or captures resulting messages."
T40,A44,Records scheduling configuration,"An attacker changes records scheduling so items are removed too early or retained longer than intended.","Tampering; Denial of Service; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation","The use case includes records scheduling for items that do not need indefinite storage. CAPEC-153 maps to manipulation of scheduling values that drive retention behavior."
T41,A45,Ownership and succession information,"An attacker modifies ownership, management-successor, or disposition information so repository assets are transferred, governed, or disposed of incorrectly.","Tampering; Repudiation; Elevation of Privilege",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-122: Privilege Abuse","The use case includes passing ownership or management to a successor and planning disposition if the repository ceases. CAPEC-153 maps to altered ownership data, while CAPEC-122 applies where legitimate administrative capabilities are abused."
