Threat_ID, Asset_ID, Contextualized_Asset, Threat_Description, STRIDE_Categories, Maps_to_Use_Case, Source, CAPEC_References, CAPEC_Rationale
T11, A6, "Transaction Logs (audit records of user actions, with transaction codes 100‑104, 1001‑1011, etc., as listed in UC1, UC3, UC10, and others)", "An attacker deletes, modifies, or forges log entries to cover their tracks (e.g., after performing an unauthorized action) or to frame another user. The attacker may exploit weak access controls on the log storage or lack of integrity verification.", Tampering; Repudiation, "UC3", CAPEC, "CAPEC-268: Audit Log Manipulation", "UC3 and other use cases specify detailed logging of transactions. If logs are not write‑once or protected by integrity controls, an attacker can manipulate them (CAPEC‑268) to cause repudiation issues and hide malicious activity."
T12, A30, "Access Log Entries (Patient Viewable) (audit entries showing accessor name, role, date/time, and transaction type, as described in UC13 and UC3)", "An attacker views another patient''s access log entries to learn who has accessed that patient''s data, which patterns of access occur, and potentially to identify vulnerable staff accounts for social engineering attacks.", Information Disclosure, "UC13", CAPEC, Insufficient Information, "UC13 allows users to view their own access logs. The use‑case text does not describe how access controls prevent one patient from viewing another''s logs, and no specific attack pattern is clearly implied for this data type."
T13, A31, "Temporary Password (credential sent via email for password reset, as described in UC11 S2)", "An attacker intercepts the email containing the temporary password (e.g., by compromising the email channel or exploiting email forwarding) and uses it to authenticate as the victim before the temporary password expires, taking over the account.", Spoofing, "UC11", CAPEC, "CAPEC-16: Dictionary-based Password Attack", "UC11 sends a temporary password via email for password reset. If the email is sent over an insecure channel or the temporary password is weak, an attacker could guess (CAPEC‑16) or intercept it to impersonate the user."
T14, A25, "Password Format Rules (configuration requiring 6‑20 characters for passwords, as defined in UC1 and UC11)", "An attacker exploits weak password format rules (minimum length only 6 characters, no complexity requirements) to conduct efficient brute‑force or dictionary attacks, increasing the likelihood of successfully guessing a user''s password.", Spoofing, "UC1; UC11", CAPEC, "CAPEC-16: Dictionary-based Password Attack", "UC1 and UC11 specify that passwords must be 6‑20 characters but impose no additional complexity (e.g., no uppercase, digit, or special character requirements). This weak configuration facilitates dictionary‑based attacks (CAPEC‑16)."
T15, A22, "Session Inactivity Timeout (configuration that terminates sessions after 10 minutes of inactivity, as specified in UC2)", "An attacker exploits a long inactivity timeout (10 minutes) to hijack a session after a legitimate user leaves a workstation unlocked, or to perform a session fixation attack where the victim authenticates within the 10‑minute window.", Spoofing, "UC2", CAPEC, "CAPEC-59: Session Credential Falsification through Prediction", "UC2 mandates a 10‑minute timeout. While this is a common value, a longer window gives attackers more opportunity to predict or steal a session ID (CAPEC‑59) before the session expires."
T16, A23, "User Lockout Policy (configuration that locks a username after 3 failed login attempts for 60 minutes, as defined in UC2)", "An attacker exploits a restrictive lockout threshold (3 attempts) to easily induce account lockouts for targeted users, causing a denial of service with relatively few malicious attempts.", Denial of Service, "UC2", CAPEC, "CAPEC-2: Inducing Account Lockout", "UC2 states that a username is locked out after 3 failed attempts. This low threshold makes it straightforward for an attacker to trigger the lockout mechanism (CAPEC‑2)."
T17, A26, "Temporary Password Expiration (configuration that controls how long a temporary password remains valid; exact duration not specified in UC11)", "An attacker obtains a temporary password (e.g., by intercepting the reset email) and successfully uses it even after a long period because the expiration time is too long or not enforced, compromising the account.", Spoofing, "UC11", CAPEC, "CAPEC-16: Dictionary-based Password Attack", "UC11 mentions that the temporary password expires but does not specify the expiration duration. If the duration is unreasonably long, an attacker could guess or reuse the temporary password (CAPEC‑16) long after it was issued."
T18, A4, "Enabled Flag (state indicating whether a user is active in the system, as described in UC1 S1)", "An attacker with administrative access (or one who exploits a privilege escalation flaw) disables a legitimate user''s enabled flag to deny them access, or re‑enables a banned user flag to circumvent a ban.", Elevation of Privilege; Denial of Service, "UC1", CAPEC, "CAPEC-233: Privilege Escalation", "UC1 allows an Admin to set the enabled flag. If an attacker can escalate their privileges (CAPEC‑233) to Admin, they can modify this flag to enable or disable accounts."
T19, A5, "User List (collection of all usernames/MIDs in the system, as implied by UC1 S2 where an Admin selects a user from a list)", "An attacker enumerates valid usernames by observing error message differences (e.g., 'No user found with provided username' from UC11 E3) or by exploiting the user list view function (UC1). The list can then be used for targeted password guessing or social engineering attacks.", Information Disclosure, "UC1; UC11", CAPEC, "CAPEC-16: Dictionary-based Password Attack", "UC11 E3 reveals the existence of a username through an error message. An attacker can combine this with the Admin''s ability to view user lists to collect all valid usernames, then use that list for dictionary attacks (CAPEC‑16)."
T20, A10, "Prescription Data (medication orders including drug, dose, start/end dates, and renewals, as described in UC9)", "An attacker modifies a patient''s prescription data (e.g., increasing the dose, extending the end date, or changing the drug) by intercepting and altering the data during transmission or by directly tampering with stored records, potentially causing medical harm.", Tampering, "UC9", CAPEC, "CAPEC-277: Data Interchange Protocol Manipulation", "UC9 allows HCPs to create/modify prescriptions and patients to view them. Without integrity controls, an attacker could manipulate prescription data (CAPEC‑277), leading to incorrect medication or dosing."
