Asset_ID,Asset_Name,Asset_Type,Tools/Techniques,Criticality,Justification
A21,Patient demographics,Data,Not Specified,High,"Demographic information includes names, email, address, phone, date of birth, ethnicity, and gender. Compromise could expose sensitive personal information or corrupt patient records."
A22,Patient email address,Data,Not Specified,High,"Email is part of demographics and is used for password reset and alerts. Incorrect or exposed email data could affect account recovery and privacy."
A23,Patient street address,Data,Not Specified,High,"Street address fields are part of demographics. Disclosure or tampering could affect privacy and record integrity."
A24,Patient phone number,Data,Not Specified,Medium,"Phone is part of demographic information. It is personally identifiable and requires integrity, though the use cases do not associate it with access decisions."
A25,Patient date of birth,Data,Not Specified,High,"Date of birth is part of demographics and is used in health-related scenarios. Disclosure affects privacy and tampering could affect clinical context."
A26,Patient ethnicity,Data,Not Specified,High,"Ethnicity is part of demographics and is sensitive personal information. Unauthorized disclosure or modification could harm privacy and record integrity."
A27,Patient gender,Data,Not Specified,High,"Gender is part of demographics and is sensitive personal information. Unauthorized disclosure or modification could harm privacy and record integrity."
A28,Mother username,Data,Not Specified,Medium,"Mother username is an optional demographic field tied to an existing user. Integrity and confidentiality matter because it links users within the system."
A29,Father username,Data,Not Specified,Medium,"Father username is an optional demographic field tied to an existing user. Integrity and confidentiality matter because it links users within the system."
A30,Hospital record,Data,Not Specified,Medium,"Hospital information includes name, address, state, and zip and can be added or deleted by an administrator. Integrity matters for office visit context, but it is not described as patient-specific confidential data."
A31,Appointment request,Data,Not Specified,High,"Appointment requests include HCP, date, time, comments, and type and can be viewed, approved, denied, updated, or deleted. Compromise could expose care relationships or alter scheduling decisions."
A32,Appointment status,State,Not Specified,High,"HCPs approve or decline appointment requests, and status changes trigger email alerts. Tampering could misrepresent care scheduling and patient communication."
A33,Appointment comments,Data,Not Specified,Medium,"Comments are entered as part of appointment requests. They may contain patient-provided information, though the use case only specifies a short text field."
A34,Office visit record,Data,Not Specified,High,"Office visits include patient, hospital, date, time, notes, appointment type, and recorded clinical information. Unauthorized access or modification could compromise medical confidentiality and integrity."
A35,Office visit notes,Data,Not Specified,High,"Notes are entered for office visits and diagnoses. They may contain clinical details, so disclosure or tampering could affect patient privacy and care integrity."
A36,Basic health metrics,Data,Not Specified,High,"Basic health metrics include height or length, weight, head circumference, blood pressure, cholesterol values, and smoking status. These are medical data with high confidentiality and integrity impact."
A37,Blood pressure,Data,Not Specified,High,"Blood pressure is recorded as part of basic health metrics. Incorrect values could affect clinical interpretation."
A38,Cholesterol values,Data,Not Specified,High,"HDL, LDL, and triglycerides are recorded for patients 12 and over. Incorrect or exposed values could affect medical privacy and care decisions."
A39,Household smoking status,Data,Menu options,High,"Household smoking status is recorded as part of basic health metrics. It is health-related patient context and requires confidentiality and integrity."
A40,Patient smoking status,Data,Menu options,High,"Patient smoking status is recorded for patients 12 and over. It is sensitive health information and must be protected from disclosure or tampering."
A41,Diagnosis record,Data,Not Specified,High,"Diagnosis records associate a patient, office visit, HCP, date, ICD-10 code, description, and notes. Compromise would directly affect medical confidentiality and integrity."
A42,ICD-10 diagnosis code,Data,"ICD-10 code format",High,"ICD-10 codes identify diagnoses selected or maintained in the system. Tampering could alter clinical meaning and patient records."
A43,Diagnosis description,Data,Not Specified,High,"Diagnosis descriptions are part of diagnosis data and the administered diagnosis list. Incorrect values could misrepresent medical conditions."
A44,Diagnosis list,Data,Not Specified,High,"Administrators add, edit, view, and delete ICD-10 codes in the system. Integrity of this list affects diagnosis selection and medical record accuracy."
A45,Prescription record,Data,Not Specified,High,"Prescription records include drug, dose, start date, end date, and renewals associated with an office visit. Disclosure or tampering could affect patient privacy and medication safety."
A46,NDC drug record,Data,NDC code,High,"Administrators add, edit, delete, and view NDC drug records containing code, name, and description. Integrity affects prescription selection and correctness."
A47,NDC code,Data,NDC code format,High,"The NDC code identifies drugs selected for prescriptions and administered in the system. Tampering could cause incorrect medication association."
A48,Prescription dosage,Data,Not Specified,High,"Dosage in milligrams is entered for prescriptions. Incorrect values could affect medication safety."
A49,Prescription start and end dates,Data,Not Specified,High,"Prescription start and end dates define the prescription period. Tampering could affect treatment validity and patient safety."
A50,Prescription renewals,Data,Not Specified,High,"Renewals define how many times a prescription can be renewed during the prescription period. Incorrect values could affect medication authorization."
A51,Access log,Data,Not Specified,High,"Users view access logs containing accessor name, role relative to patient, date/time, and transaction type. Integrity and confidentiality are important for transparency and auditability."
A52,Accessor name,Data,Not Specified,Medium,"Accessor name appears in access log entries. Tampering could misattribute access, while disclosure is tied to audit visibility."
A53,Accessor role relative to patient,Data,Not Specified,Medium,"The access log includes the accessor's role relative to the patient when applicable. Integrity matters for understanding access context."
A54,Access log date range,Data,Not Specified,Low,"Users can select a beginning and end date to filter access log entries. It affects query results but is not itself highly sensitive."
A55,Temporary password,Credential,Email verification,High,"Password reset sends a temporary password to the email associated with the user. Exposure would allow account takeover during reset."
A56,Password reset link,Credential,Email verification,High,"A reset link is sent during password reset. Compromise could enable unauthorized password reset."
A57,Temporary password expiration state,State,Not Specified,High,"The system checks whether a temporary password has expired. Incorrect state could allow use of expired credentials or block legitimate reset."
A58,Password reset email,Data,Email,High,"Password reset email carries a temporary password and reset link. Disclosure or misdelivery would create direct account compromise risk."
A59,Password change notification email,Data,Email,Medium,"An email informs the user of a password change and includes the MID but not the password. It supports account monitoring and should preserve confidentiality of account status."
A60,Appointment status notification email,Data,Email,Medium,"An email informs the patient of appointment status changes. It may reveal care scheduling information and must be accurate."
A61,Account lockout notification email,Data,Email,Medium,"An email informs the user of account lockout. It supports security awareness and must not be tampered with."
A62,Tracked email records,Data,Not Specified,Medium,"All email alerts are tracked within the iTrust2 application. Integrity matters for auditability of notifications."
A63,Success and error messages,Data,Not Specified,Low,"The system displays success, warning, and error messages for user actions and validation failures. They support usability and security feedback, but the use case does not indicate that they contain secrets."
A64,Data format rules,Configuration,Field constraints in use-case sections,Medium,"Multiple use cases define required formats for usernames, passwords, demographics, diagnoses, appointments, and prescriptions. Integrity matters because validation affects data quality and security-relevant input handling."
A65,Patient viewable flag,Configuration,Not Specified,Medium,"Logging tables specify whether transactions are patient viewable. Incorrect values could expose or hide audit records from patients."
A66,Access-control relationship between HCP and patient,System Component,Role-based entry,High,"HCPs can view or edit certain patient information while patients can view their own records but not edit clinical data. Incorrect enforcement could expose or alter medical records."
A67,User management functionality,System Component,Not Specified,High,"Admins create and delete users and assign roles and enabled status. Compromise could affect authentication, authorization, and account lifecycle."
A68,Authentication functionality,System Component,Not Specified,High,"Authentication validates username and password, creates role-based entry, manages sessions, and enforces lockouts and bans. Compromise would directly affect system access."
A69,Logging functionality,System Component,Not Specified,High,"The logging use case records create, view, edit, delete, authentication, and logout events. Compromise would undermine accountability and forensic evidence."
A70,Email alert functionality,System Component,Email,Medium,"Email alerts are sent for password changes, appointment status changes, and account lockouts. Compromise could suppress or forge security and patient notifications."
