Threat_ID,Asset_ID,Contextualized_Asset,Threat_Description,STRIDE_Categories,Maps_to_Use_Case,Source,CAPEC_References,CAPEC_Rationale
T15,A20,Transaction timestamp,"An attacker changes timestamps on log entries to obscure when medical record access, authentication failures, lockouts, or administrative actions occurred.","Tampering; Repudiation",UC3,CAPEC,"CAPEC-268: Audit Log Manipulation","The timestamp is explicitly recorded for logged actions; modifying it is a specific way to manipulate audit evidence."
T16,A21,Patient demographics entered or edited by patient or HCP,"An attacker submits malformed or unauthorized demographic values to corrupt patient identity, contact, or personal information fields.","Tampering; Information Disclosure",UC4,CAPEC,"CAPEC-153: Input Data Manipulation","Demographics are entered through forms with defined formats; CAPEC-153 applies to attacks that control input format, structure, or content to adversely affect processing."
T17,A22,Patient email address used for password reset and alerts,"An attacker changes a patient's email address so password reset messages or security alerts are sent to an attacker-controlled mailbox.","Tampering; Information Disclosure; Elevation of Privilege",UC4; UC11; UC14,CAPEC,"CAPEC-153: Input Data Manipulation","Email is a demographic field and is used for reset and alert delivery; manipulating the input value can redirect sensitive account communications."
T18,A31,Appointment request submitted by patient,"An attacker tampers with appointment request fields such as HCP, date, time, comments, or type to create misleading or unauthorized appointment requests.","Tampering",UC6,CAPEC,"CAPEC-153: Input Data Manipulation","Appointment request fields are directly entered by the patient and validated against formats; manipulating those inputs can corrupt scheduling data."
T19,A32,Appointment status changed by HCP,"An attacker changes an appointment request status to approved or declined without a legitimate HCP decision, causing incorrect patient notification and scheduling state.","Tampering; Elevation of Privilege",UC6; UC14,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","Only the HCP can approve or decline appointment requests; unauthorized status change abuses or escalates privileges in the described workflow."
T20,A34,Office visit record documented by HCP and viewed by patient,"An attacker modifies office visit data such as patient, hospital, date, time, appointment type, or notes to corrupt the clinical record.","Tampering; Information Disclosure",UC7,CAPEC,"CAPEC-153: Input Data Manipulation","Office visit fields are entered through a documented form with validation; input manipulation is a plausible way to corrupt the persisted medical record."
T21,A35,Office visit or diagnosis notes,"An attacker enters misleading or malformed notes that are later shown to patients or HCPs, causing inaccurate clinical context or inappropriate disclosure.","Tampering; Information Disclosure",UC7; UC10,CAPEC,"CAPEC-153: Input Data Manipulation","Notes are free-text fields up to 500 characters in office visits and diagnoses; manipulating this input can corrupt or expose sensitive clinical information."
T22,A36,Basic health metrics recorded during an office visit,"An attacker alters height, weight, head circumference, blood pressure, cholesterol, or smoking status values to misrepresent patient health data.","Tampering; Information Disclosure",UC8,CAPEC,"CAPEC-153: Input Data Manipulation","Basic health metrics are explicitly entered and edited by HCPs under numeric and menu constraints; malformed or manipulated input can corrupt clinical data."
T23,A37,Blood pressure values in basic health metrics,"An attacker submits invalid or misleading systolic and diastolic values to change the patient's recorded health state.","Tampering",UC8,CAPEC,"CAPEC-153: Input Data Manipulation","Blood pressure values are user-entered numeric fields with specified constraints; manipulating these inputs can corrupt the health metric record."
T24,A38,HDL, LDL, and triglyceride cholesterol values,"An attacker submits cholesterol values outside the intended ranges or changes valid values to affect the patient's recorded health metrics.","Tampering",UC8,CAPEC,"CAPEC-153: Input Data Manipulation","The use case defines cholesterol fields and allowed ranges; CAPEC-153 applies to attacks against input validation and processing."
T25,A41,Diagnosis record associated with patient and office visit,"An attacker creates, edits, or deletes a patient's diagnosis without proper authority, changing the patient's medical record.","Tampering; Elevation of Privilege; Information Disclosure",UC10,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","The HCP can create, edit, and delete diagnoses while the patient can only view them; unauthorized write access would exceed the allowed role capabilities."
T26,A42,ICD-10 diagnosis code selected for a patient diagnosis,"An attacker changes the selected ICD-10 code so the diagnosis no longer matches the patient's condition.","Tampering",UC10,CAPEC,"CAPEC-153: Input Data Manipulation","ICD-10 codes are selected or entered under a strict format; manipulated input could alter the clinical meaning of the diagnosis."
T27,A44,Administrator-maintained diagnosis list,"An attacker adds, edits, or removes ICD-10 codes or descriptions in the system diagnosis list without administrator authority.","Tampering; Elevation of Privilege",UC10,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","Only the administrator is described as maintaining the diagnosis list; unauthorized changes require performing privileged administrative actions."
T28,A45,Prescription record added to an office visit,"An attacker creates, modifies, deletes, or views a patient's prescription record without the role permitted by the use case.","Tampering; Information Disclosure; Elevation of Privilege",UC9,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","The HCP adds prescriptions and the patient views prescriptions; unauthorized write or access violates role boundaries and abuses privileged functionality."
T29,A46,NDC drug record maintained by administrator,"An attacker adds or edits an NDC drug record so prescriptions can reference an incorrect drug name, code, or description.","Tampering; Elevation of Privilege",UC9,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","The administrator updates the NDC list; unauthorized modification of that catalog is an abuse or escalation of administrative privilege."
T30,A47,NDC code selected for prescription drug,"An attacker submits or changes an NDC code to associate the prescription with the wrong drug record.","Tampering",UC9,CAPEC,"CAPEC-153: Input Data Manipulation","Prescription drug selection is based on NDC code, and NDC has a specified format; manipulating that value can corrupt the prescription record."
T31,A48,Prescription dosage in milligrams,"An attacker changes the dosage value to an incorrect positive integer, causing the prescription record to show an unsafe or unintended dose.","Tampering",UC9,CAPEC,"CAPEC-153: Input Data Manipulation","Dosage is an entered prescription field with a positive-integer constraint; manipulating the input directly affects medication data integrity."
T32,A49,Prescription start and end dates,"An attacker changes prescription dates so the active prescription period is longer, shorter, or otherwise incorrect.","Tampering",UC9,CAPEC,"CAPEC-153: Input Data Manipulation","Start and end dates are entered prescription fields; manipulating them changes the meaning and validity period of the prescription."
T33,A50,Prescription renewals count,"An attacker changes the number of renewals to allow more or fewer renewals than intended during the prescription period.","Tampering",UC9,CAPEC,"CAPEC-153: Input Data Manipulation","Renewals are an entered positive-integer prescription field; input manipulation can corrupt medication authorization data."
T34,A51,User access log displayed on login and separate access-log page,"An attacker accesses or manipulates a user's access log entries to hide inappropriate accesses or reveal accessor information outside the intended user view.","Tampering; Information Disclosure; Repudiation",UC13,CAPEC,"CAPEC-268: Audit Log Manipulation","Access logs contain accessor, role, time, and transaction type information; audit-log manipulation is directly relevant to hiding or changing access evidence."
T35,A54,Access log beginning and end date filters,"An attacker supplies invalid or manipulated date ranges to cause misleading access-log results, such as suppressing events from the displayed period.","Tampering",UC13,CAPEC,"CAPEC-153: Input Data Manipulation","The user enters date ranges and invalid dates affect displayed events; manipulated input can alter which audit records are returned."
T36,A55,Temporary password sent during password reset,"An attacker obtains or uses the temporary password sent to the user's associated email to change the account password.","Spoofing; Elevation of Privilege; Information Disclosure",UC11,CAPEC,"CAPEC-560: Use of Known Domain Credentials","The temporary password is a credential explicitly sent for account recovery; using a known credential to authenticate or change the password matches this attack pattern."
T37,A56,Password reset link sent during password reset,"An attacker obtains the reset link from the reset email and uses it to complete password reset for the victim's account.","Spoofing; Elevation of Privilege; Information Disclosure",UC11,CAPEC,"CAPEC-98: Phishing","The reset link is delivered by email and grants access to the reset path; CAPEC phishing is relevant where the attacker tricks or obtains the user into exposing the reset communication."
T38,A57,Temporary password expiration state,"An attacker tampers with the expiration state so an expired temporary password remains usable or a valid temporary password is treated as expired.","Tampering; Elevation of Privilege; Denial of Service",UC11,CAPEC,"CAPEC-262: Manipulate System Resources","Expiration state controls whether the temporary password may be accepted; manipulating that state changes access behavior or blocks recovery."
T39,A58,Password reset email containing temporary password and reset link,"An attacker causes the reset email to be sent to an unintended address or uses the reset email contents to take over the account.","Information Disclosure; Spoofing; Elevation of Privilege",UC11,CAPEC,"CAPEC-98: Phishing; CAPEC-560: Use of Known Domain Credentials","The reset email contains both a temporary password and reset link; phishing and use of obtained credentials are plausible realizations of this threat."
T40,A59,Password change notification email containing MID but not password,"An attacker suppresses, changes, or spoofs a password change notification so the user is not accurately informed of account activity.","Tampering; Spoofing; Repudiation",UC14,CAPEC,"CAPEC-148: Content Spoofing","The notification email is content sent by the application; spoofing or changing that content can mislead the recipient about security-relevant account activity."
T41,A60,Appointment status notification email,"An attacker spoofs or alters an appointment status email so the patient receives an incorrect approval or denial notification.","Tampering; Spoofing",UC14,CAPEC,"CAPEC-148: Content Spoofing","The email communicates appointment status; content spoofing is relevant because modified email content can misrepresent the intended appointment status."
T42,A61,Account lockout notification email,"An attacker spoofs or alters an account lockout email so the user receives misleading information about account lockout.","Tampering; Spoofing",UC14,CAPEC,"CAPEC-148: Content Spoofing","The email communicates account lockout status; content spoofing applies to modified or misleading notification content."
T43,A62,Tracked email records inside iTrust2,"An attacker changes tracked email records so password-change, appointment-status, or lockout notifications appear to have been sent or not sent inaccurately.","Tampering; Repudiation",UC14,CAPEC,"CAPEC-268: Audit Log Manipulation","Email alerts are tracked within the application and all events are logged; manipulating these records undermines accountability similarly to audit-log manipulation."
T44,A64,Data format rules for usernames, passwords, demographics, diagnoses, appointments, and prescriptions,"An attacker submits unexpected values that bypass or exploit weak validation rules, causing invalid or unsafe data to be accepted.","Tampering",UC1; UC4; UC5; UC6; UC8; UC9; UC10; UC11; UC13,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-267: Leverage Alternate Encoding","The use cases rely heavily on field formats and validation; manipulating input structure or alternate encodings can bypass intended validation behavior."
T45,A65,Patient viewable flag in logging tables,"An attacker changes whether a transaction is patient viewable so patient-visible audit events are hidden or non-viewable events are exposed.","Tampering; Information Disclosure; Repudiation",UC3; UC13,CAPEC,"CAPEC-262: Manipulate System Resources","The patient viewable flag controls audit visibility; unauthorized modification changes confidentiality and accountability behavior."
T46,A66,Access-control relationship between HCP and patient,"An attacker acts outside the described patient/HCP/admin permissions, such as editing records that should only be viewable or accessing another patient's records.","Elevation of Privilege; Information Disclosure; Tampering",UC4; UC6; UC7; UC8; UC9; UC10; UC12,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels","The use cases define role-specific capabilities for patients, HCPs, and administrators; violating those boundaries maps to privilege escalation and access-control misconfiguration."
T47,A67,User management functionality for creating and deleting users,"An attacker performs unauthorized user creation or deletion to gain access, remove users, or disrupt the account population.","Elevation of Privilege; Tampering; Denial of Service",UC1,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","Only the admin is described as creating and deleting users; unauthorized use of that function is privileged action abuse."
T48,A68,Authentication functionality enforcing login, session termination, lockout, and ban rules,"An attacker abuses the authentication function by guessing credentials, bypassing lockout or ban enforcement, or reusing authenticated state.","Spoofing; Elevation of Privilege; Denial of Service",UC2,CAPEC,"CAPEC-49: Password Brute Forcing; CAPEC-593: Session Hijacking; CAPEC-2: Inducing Account Lockout","The authentication use case explicitly includes credential entry, session lifecycle, failed-attempt lockout, and ban behavior; these CAPEC patterns map to those described mechanisms."
T49,A69,Logging functionality for create, view, edit, delete, authentication, and logout events,"An attacker interferes with logging functionality so security-relevant actions are not recorded accurately or cannot support forensics.","Tampering; Repudiation",UC3,CAPEC,"CAPEC-268: Audit Log Manipulation; CAPEC-93: Log Injection-Tampering-Forging","The use case states complete log files are critical for forensics; manipulating the logging mechanism directly undermines that purpose."
T50,A70,Email alert functionality for password changes, appointment status changes, and account lockouts,"An attacker abuses or interferes with email alert functionality to send misleading alerts, suppress legitimate alerts, or expose alert contents.","Spoofing; Tampering; Information Disclosure",UC14,CAPEC,"CAPEC-148: Content Spoofing; CAPEC-134: Email Injection","The use case states that emails are generated for specific security and appointment events; content spoofing and email injection are plausible attack patterns against generated email content."
